Row Labels,Sum of is_canceled,,,,,,,,,,,,,,,,,
0,20202,,,,,Row Labels,Count of reservation_status,,,,,,,,,,,
1,135,,,,,City Hotel,79330,,,,,,,,,,,
Grand Total,20337,,,,,Resort Hotel,40060,,,,,,,,,,,
,,,,,,(blank),,,,,,,,,,,,
,,,,,,Grand Total,119390,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,country,(All),,,,,,,,,,,
Row Labels,Count of distribution_channel,Sum of previous_cancellations,,,,,,,,,,,,,,,,
Canceled,19669,1793,,,,Sum of adults,Column Labels,,,,,,,,,,,
Check-Out,36370,720,,,,Row Labels,A,B,C,D,E,F,G,H,L,P,(blank),Grand Total
No-Show,668,5,,,,City Hotel,111589,1749,21,25571,3220,3591,1097,,,0,,146838
Grand Total,56707,2518,,,,Resort Hotel,41575,6,1880,14538,9721,2181,3254,1630,13,0,,74798
,,,,,,(blank),,,,,,,,,,,,
,,,,,,Grand Total,153164,1755,1901,40109,12941,5772,4351,1630,13,0,,221636
,,,,,,,,,,,,,,,,,,
Row Labels,Sum of is_canceled,Sum of arrival_date_day_of_month,,,,,,,,,,,,,,,,
January,557,36851,,,,,,,,,,,,,,,,
February,1337,62915,,,,,,,,,,,,,,,,
March,1477,82026,,,,,,,,,,,,,,,,
April,2061,89906,,,,,,,,,,,,,,,,
May,1915,88577,,,,,,,,,,,,,,,,
June,2096,79564,,,,,,,,,,,,,,,,
July,1499,73657,,,,,,,,,,,,,,,,
August,1825,79737,,,,,,,,,,,,,,,,
September,2022,86235,,,,,,,,,,,,,,,,
October,2514,99958,,,,,,,,,,,,,,,,
November,1636,60923,,,,,,,,,,,,,,,,
December,1398,61922,,,,,,,,,,,,,,,,
Grand Total,20337,902271,,,,,,,,,,,,,,,,
